name;year;union_budget;resp_budgets;local_budgets;total_budget
I. Народное хозяйство;;;;;
;1946;92055,6;7474,6;6651,1;106181,3
;1947;113161,2;10600,8;9295,8;133057,8
;1948;129163;11572,8;8821,9;149557,7
;1949;139549,2;12073,9;10313,8;161936,9
;1950;135297,7;12717,7;9615,2;157630,6
1. Промышленность;;;;;
;1946;63962,1;4149,4;1211,3;69322,8
;1947;77211;5821,4;1672,5;84704,9
;1948;86513,5;6058,9;1606,4;94178,8
;1949;75758,3;4459,2;1016,4;81233,9
;1950;73833,3;3597,2;1054;78484,5
тяжелая и машиностроительная и отдельные промышленные строительства;;;;;
;1946;58291;998,4;332,9;59622,3
;1947;59542,4;1780,6;524,8;71847,8
;1948;76323,7;2263,7;593,1;79180,5
;1949;68757,7;1192,6;247,3;70197,6
;1950;67562,7;1080,1;198,3;68841,1
легкая (в том числе текстильная);;;;;
;1946;2536,9;1745,6;234,2;4516,7
;1947;3706,2;2094,3;348,5;6149
;1948;3990,9;2141,1;464,2;6596,2
;1949;1009,2;630;123,3;1762,5
;1950;522,2;446,5;163,7;1132,4
пищевая (в том числе, рыбная, мясная и молочная);;;;;
;1946;3065,5;729;121,1;3915,6
;1947;3890,2;1049,7;188,3;5128,2
;1948;6101,4;929,9;97,1;7128,4
;1949;5698,4;1819,5;123;7640,9
;1950;5505,8;1347,3;121,6;6974,7
местная (в том числе местная топливная);;;;;
;1946;-;561,6;473,7;1035,3
;1947;-;707,5;565,3;1272,8
;1948;-;600,3;407,2;1007,5
;1949;-;472,9;400;872,9
;1950;-;374;397,4;771,4
прочая;;;;;
;1946;68,7;114,8;49,4;232,9
;1947;72,2;189,3;45,6;307,1
;1948;97,5;123,9;44,8;266,2
;1949;293;344,2;122,8;760
;1950;242,6;349,3;173;764,9
2. Сельское хозяйство;;;;;
;1946;9891,4;2099,4;877,4;12868,2
;1947;13025,2;3099,3;1118,1;17242,6
;1948;15184,5;4009,4;1212,4;20406,3
;1949;24005,7;5414,9;1470,7;30891,3
;1950;25317,4;7032,8;1696,3;34046,5
зерновые и животноводческие совхозы НК совхозов;;;;;
;1946;1041,8;863;-;1904,8
;1947;1701,5;1884,7;-;3586,2
;1948;2004,1;1996,2;-;4000,3
;1949;3004,4;3077,4;-;6081,8
;1950;3614,5;3914,9;-;7529,4
мероприятия по министерствам сельского хозяйства;;;;;
;1946;8617,5;889,7;820,8;10328
;1947;10815,3;641,8;1048,8;12505,9
;1948;12897,8;881,9;1203,9;14983,6
;1949;20343,8;907,4;1458,7;22709,9
;1950;20666,3;1392,9;1671,8;23731
в том числе МТС;;;;;
;1946;7131,2;-;-;7131,2
;1947;9185,8;-;-;9185,8
;1948;11153,9;-;-;11153,9
;1949;17177,6;-;-;17177,6
;1950;17522,3;-;-;17522,3
лесное хозяйство;;;;;
;1946;232,1;22,6;44,7;299,4
;1947;508,4;85,7;51,4;645,5
;1948;282,6;625,4;-;908
;1949;657,5;789;-;1446,5
;1950;997,3;995,9;-;1993,2
водное хозяйство;;;;;
;1946;-;182,2;4,3;298,8
;1947;-;286,9;17,9;394,6
;1948;-;376,7;8,5;398,1
;1949;-;547,6;12;559,6
;1950;-;546;25,5;570,5
мероприятия по Переселенческому управлению;;;;;
;1946;-;37,2;-;37,2
;1947;-;110,4;-;110,4
;1948;-;116,3;-;116,3
;1949;-;93,5;-;93,5
;1950;39,3;183,1;-;222,4
3. Торговля, снабжение и заготовки;;;;;
;1946;2656,8;104,6;424,4;3185,8
;1947;3354,3;248,6;761,8;4364,7
;1948;3766,5;71,6;699,5;4537,6
;1949;6904,3;166,1;814,4;7884,8
;1950;9204,7;161,5;767,8;10134
внутренняя торговля;;;;;
;1946;462;104,6;424,4;991
;1947;14,1;248,6;761,8;1024,5
;1948;2,7;71,6;699,5;773,8
;1949;130;166,1;814,4;1110,5
;1950;17,9;161,5;767,8;947,2
внешняя торговля;;;;;
;1946;434,9;-;-;434,9
;1947;1369,8;-;-;1369,8
;1948;1161,2;-;-;1161,2
;1949;3599,9;-;-;3599,9
;1950;6102,8;-;-;6102,8
заготовки;;;;;
;1946;1759,9;-;-;1759,9
;1947;1970,4;-;-;1970,4
;1948;2602,6;-;-;2602,6
;1949;3174,4;-;-;3174,4
;1950;3084;-;-;3084
4. Транспорт;;;;;
;1946;10725,1;388,1;214,9;11328,1
;1947;13405,2;502,3;311,9;14219,4
;1948;15018;641,8;296,1;15955,9
;1949;16531,4;1045,5;640,7;18217,6
;1950;14109,9;881,1;505,4;15496,4
железнодорожный;;;;;
;1946;6520,9;-;-;6520,9
;1947;8661,2;-;-;8661,2
;1948;10289,6;-;-;10289,6
;1949;11053,5;-;-;11053,5
;1950;8882,5;-;-;8882,5
морской;;;;;
;1946;836,5;-;-;836,5
;1947;1119;-;-;1119
;1948;1043;-;-;1043
;1949;1247,6;-;-;1247,6
;1950;1381,4;-;-;1381,4
речной;;;;;
;1946;1263,5;-;-;1263,5
;1947;1577,1;-;-;1577,1
;1948;1865,4;-;-;1865,4
;1949;2078,5;-;-;2078,5
;1950;1760,5;-;-;1760,5
Северный морской путь;;;;;
;1946;522,4;-;-;522,4
;1947;529,1;-;-;529,1
;1948;543,9;-;-;543,9
;1949;734,6;-;-;734,6
;1950;724,4;-;-;724,4
гражданский воздушный флот;;;;;
;1946;496,4;-;-;496,4
;1947;463,5;-;-;463,5
;1948;180,2;-;-;180,2
;1949;555,1;-;-;555,1
;1950;494,5;-;-;494,5
шоссейные дороги и автомобильный транспорт;;;;;
;1946;1085,4;388,1;214,9;1688,4
;1947;1055,3;502,3;311,9;1869,5
;1948;1095,9;641,8;296,1;2033,8
;1949;862,1;1045,5;640,7;2548,3
;1950;866,6;881,1;505,4;2253,1
5. Связь;;;;;
;1946;260,1;-;88,9;349
;1947;213,3;-;117;330,3
;1948;252,9;-;96,6;349,5
;1949;287,5;-;130,8;418,3
;1950;92;11,1;115,7;218,8
6. Коммунальное и жилищное хозяйство;;;;;
;1946;-;374,1;3551,4;3925,5
;1947;-;403,4;4920,6;5324
;1948;-;360,7;4615,2;4975,9
;1949;-;513,1;6055,8;6568,9
;1950;-;441,6;5238,9;5680,5
В том числе по Министерству жилищно-гражданского строительства;;;;;
;1946;-;243,7;51,2;294,9
;1947;-;273,7;56,1;329,8
;1948;-;238,8;42,5;281,3
;1949;-;232,8;70,6;303,4
;1950;-;277,6;93;370,6
7. Гидрометеорологическая служба;;;;;
;1946;241;-;-;241
;1947;301,6;-;-;301,6
;1948;308,9;-;-;308,9
;1949;353,1;-;-;353,1
;1950;371;-;-;371
8. Прочие расходы на финансирование народного хозяйства;;;;;
;1946;4319,1;359;282,8;4960,9
;1947;5650,6;525,8;393,9;6570,3
;1948;8118,7;430,4;295,7;8844,8
;1949;15708,9;475,1;185;16369
;1950;12369,4;592,4;237,1;13198,9
II. Социально-культурные мероприятия;;;;;
;1946;40249;9845,3;29940,1;80034,4
;1947;52912,6;12842,3;40237,9;105992,8
;1948;48779,8;13015,9;43864,4;105660,1
;1949;54700,1;13388;47893,1;115981,2
;1950;53567,7;13506,8;49650;116724,5
1. Просвещение;;;;;
;1946;14351,3;4665,1;18733,4;37749,8
;1947;20793,4;6129,6;24568,7;51491,7
;1948;21966,2;6294,5;26778,9;55039,6
;1949;21597,3;6514,9;29539,9;57652,1
;1950;19453,8;6517,6;30924,2;56895,6
а) научные и научно-исследовательские учреждения;;;;;
;1946;3253,1;892;257,8;4402,9
;1947;4772,6;1129,5;332,9;6235
;1948;4456,3;1130,2;326,3;5912,8
;1949;4584,3;1159,8;335,2;6079,3
;1950;4035,8;1047,1;304,8;5387,7
б)подготовка кадров;;;;;
;1946;9138,6;2858,1;1217,4;13214,1
;1947;13250,5;3815;1528,8;18594,3
;1948;14667,4;3930,8;1658,8;20257
;1949;13962,8;4028,6;1631,8;19623,2
;1950;12361,8;4184,1;1781,4;18327,3
высшие учебные заведения и курсы высшей квалификации;;;;;
;1946;3062,5;1622,4;67,1;4752
;1947;4053,7;2182,6;92,7;6329
;1948;4256,8;2095,6;96,6;6449
;1949;4592,7;2121,5;101,3;6815,5
;1950;4852,7;2257,8;99,3;7209,8
техникумы, рабфаки, специальные средние учебные заведения и курсы по подготовке кадров средней квалификации;;;;;
;1946;1300,3;915,1;883,2;3098,6
;1947;1690,2;1253;1157,6;4100,8
;1948;2002,4;1316,6;1200,2;4519,2
;1949;1947,4;1449,3;1171,3;4568
;1950;2065,4;1305,4;1315,8;4686,6
подготовка массовых кадров;;;;;
;1946;4775,8;320,6;267,1;5363,5
;1947;7506,6;379,4;278,5;8164,5
;1948;8408,2;518,6;362;9288,8
;1949;7422,7;457,8;359,2;8239,7
;1950;5443,7;620,9;366,3;6340,9
в том числе государственные трудовые резервы;;;;;
;1946;3845,5;-;-;3845,5
;1947;6570,7;-;-;6570,7
;1948;7282,5;-;-;7282,5
;1949;6259,6;-;-;6259,6
;1950;4238;-;-;4238
в) школы;;;;;
;1946;450,7;59;11344,4;11854,1
;1947;539,5;84;13817;14440,5
;1948;611;144,8;15666;16421,8
;1949;675,7;61,2;17964,7;18701,8
;1950;787,4;75;19308,8;20171,2
г) детские сады и площадки и детские дома;;;;;
;1946;1234,6;360;3344,8;4939,4
;1947;1870,4;510,7;4756,9;7138
;1948;2069,9;668,4;5109,8;7848,1
;1949;2003,6;734,9;5617,3;8355,8
;1950;1956,2;755,5;5637,1;8348,8
д) прочие мероприятия по просвещению;;;;;
;1946;274,3;496;2569;3339,3
;1947;360,4;590,4;4133,1;5083,9
;1948;161,6;420,3;4018;4599,9
;1949;370,9;530,4;3990,9;4892,2
;1950;312,6;455,9;3892,1;4660,6
2. Здравоохранение;;;;;
;1946;1401,8;1542,3;10479,6;13423,7
;1947;1822,9;1622,2;14694,8;18139,9
;1948;2065,2;1519;16052,6;19636,8
;1949;2187,1;1443,5;17232,5;20863,1
;1950;2171,6;1321,1;17624,2;21116,9
лечебные, лечебно-профилактические и санитарно-противоэпидемические учреждения и мероприятия (в том числе противотурберкулезные и детские);;;;;
;1946;868,9;470;7079,3;8418,2
;1947;1061,9;674,1;9557,5;11293,5
;1948;1099,4;686;10411,3;12196,7
;1949;1169,4;721,7;11421,4;13312,5
;1950;1400,1;784,6;14935;17119,7
родовспоможение и лечебно-профилактическая помощь детям;;;;;
;1946;184,6;39,4;2739,6;2963,6
;1947;261;49,8;4048,3;4359,1
;1948;268,8;43,3;4336,7;4648,8
;1949;277,8;46,6;4529,3;4853,7
;1950;189,3;23,3;2395,9;2608,5
прочие учреждения и мероприятия по здравоохранению;;;;;
;1946;348,3;1032,9;660,7;2041,9
;1947;500;898,3;1089;2487,3
;1948;697;789,7;1304,6;2791,3
;1949;739,9;675,2;1281,8;2696,9
;1950;582,2;513,2;293,3;1388,7
3. Физическая культура;;;;;
;1946;43,2;65,7;91,5;200,4
;1947;52,4;95;117,2;264,6
;1948;41,4;65,2;138,7;245,3
;1949;42,5;71;160,3;273,8
;1950;48,5;76,6;154;279,1
4. Социальное обеспечение;;;;;
;1946;13486;3572,2;635,6;17693,8
;1947;15845,7;4995,5;857,2;21698,4
;1948;12405,5;5137,2;894,2;18436,9
;1949;15813;5358,6;960,4;22132
;1950;15531,9;5591,5;947,6;22071
в том числе за счет средств государственного социального страхования;;;;;
;1946;-;3270,6;-;3270,6
;1947;-;4617,4;-;4617,4
;1948;-;4724,8;-;4724,8
;1949;-;4925,9;-;4925,9
;1950;-;5183,4;-;5183,4
5. Государственное пособие многодетным и одиноким матерям;;;;;
;1946;2101,5;-;-;2101,5
;1947;3583,7;-;-;3583,7
;1948;4503,7;-;-;4503,7
;1949;2525,1;-;-;2525,1
;1950;3657,4;-;-;3657,4
6. Государственное социальное страхование;;;;;
;1946;7383;-;-;7383
;1947;9894,5;-;-;9894,5
;1948;9776,4;-;-;9776,4
;1949;11809,6;-;-;11809,6
;1950;12704,5;-;-;12704,5
III. Государственное управление;;;;;
;1946;3763,2;2695,4;5296,2;11754,8
;1947;4412,7;2906,4;5854,2;13173,3
;1948;4764,4;2847,3;5405,2;13016,9
;1949;4875,2;3071,1;5601;13547,3
;1950;5081,6;3104,8;5696,4;13882,8
Содержание органов государственного управления;;;;;
;1946;3330,1;2346,4;5296,2;10972,7
;1947;3886,6;2490,3;5854,2;12231,1
;1948;4246;2409,7;5405,2;12060,9
;1949;4371;2589;5601;12561
;1950;4561;2628,4;5696,4;12885,8
Судебные учреждения, прокуратура и нотариат;;;;;
;1946;433,1;349;-;782,1
;1947;526,1;416,1;-;942,2
;1948;518,4;437,6;-;956
;1949;504,2;482,1;-;986,3
;1950;520,6;476,4;-;997
IV. На оборону страны;;;;;
;1946;73633,7;-;-;73633,7
;1947;66325,6;-;-;66325,6
;1948;66307,2;-;-;66307,2
;1949;79160,8;-;-;79160,8
;1950;82841,4;-;-;82841,4
V. Расходы по государственным займам;;;;;
;1946;5344,1;-;-;5344,1
;1947;6895,9;-;-;6895,9
;1948;2951,3;-;-;2951,3
;1949;4784,8;-;-;4784,8
;1950;5114,1;-;-;5114,1
VI. Прочие расходы;;;;;
;1946;29359,7;232,9;1004,6;30597,2
;1947;34825;264,9;1006,9;36096,8
;1948;32117;470,4;781,6;33429
;1949;35451,9;729;696;36876,9
;1950;35418,1;897,2;727,9;37043,2
Итого расходов;;;;;
;1946;244405,3;20248,2;42892;307545,5
;1947;278533;26614,4;56394,8;361542,2
;1948;284142,7;27906,4;58873,1;370922,2
;1949;318522;29262;64503,9;412287,9
;1950;317320,6;30226,5;65689,5;413236,6
